feature,importance,fold
POS_MONTHS_BALANCE_COUNT,38244.92600822449,2
POS_NAME_CONTRACT_STATUS_<LAMBDA>,30979.829566955566,2
CREDIT_TO_INCOME,10341.53699684143,2
ANNUITY_TO_INCOME,61123.73610210419,2
EMPLOYED_YEARS,59862.331453323364,2
NAME_CONTRACT_TYPE_Cash_loans,18432.318069458008,2
NAME_CONTRACT_TYPE_Revolving_loans,3207.7237091064453,2
NAME_CONTRACT_TYPE_nan,0.0,2
CODE_GENDER_F,44815.02583885193,2
CODE_GENDER_M,32887.85648918152,2
CODE_GENDER_XNA,0.0,2
CODE_GENDER_nan,0.0,2
FLAG_OWN_CAR_N,11859.23646068573,2
FLAG_OWN_CAR_Y,901.1959810256958,2
FLAG_OWN_CAR_nan,0.0,2
FLAG_OWN_REALTY_N,3103.3267822265625,2
FLAG_OWN_REALTY_Y,320.08850288391113,2
FLAG_OWN_REALTY_nan,0.0,2
NAME_TYPE_SUITE_Children,489.9495048522949,2
NAME_TYPE_SUITE_Family,1044.4605045318604,2
NAME_TYPE_SUITE_Group_of_people,0.0,2
NAME_TYPE_SUITE_Other_A,0.0,2
NAME_TYPE_SUITE_Other_B,54.64789962768555,2
NAME_TYPE_SUITE_Spouse_partner,672.362003326416,2
NAME_TYPE_SUITE_Unaccompanied,2056.9432888031006,2
NAME_TYPE_SUITE_nan,106.7333984375,2
NAME_INCOME_TYPE_Businessman,0.0,2
NAME_INCOME_TYPE_Commercial_associate,1568.2453022003174,2
NAME_INCOME_TYPE_Maternity_leave,0.0,2
NAME_INCOME_TYPE_Pensioner,1676.8078002929688,2
NAME_INCOME_TYPE_State_servant,5596.337278366089,2
NAME_INCOME_TYPE_Student,0.0,2
NAME_INCOME_TYPE_Unemployed,0.0,2
NAME_INCOME_TYPE_Working,11451.166507720947,2
NAME_INCOME_TYPE_nan,0.0,2
NAME_EDUCATION_TYPE_Academic_degree,0.0,2
NAME_EDUCATION_TYPE_Higher_education,56764.248569488525,2
NAME_EDUCATION_TYPE_Incomplete_higher,1185.4053993225098,2
NAME_EDUCATION_TYPE_Lower_secondary,1616.0506925582886,2
NAME_EDUCATION_TYPE_Secondary__secondary_special,16918.872928619385,2
NAME_EDUCATION_TYPE_nan,0.0,2
NAME_FAMILY_STATUS_Civil_marriage,1730.6459140777588,2
NAME_FAMILY_STATUS_Married,21930.779348373413,2
NAME_FAMILY_STATUS_Separated,662.9373016357422,2
NAME_FAMILY_STATUS_Single__not_married,2543.154811859131,2
NAME_FAMILY_STATUS_Unknown,0.0,2
NAME_FAMILY_STATUS_Widow,1697.8798961639404,2
NAME_FAMILY_STATUS_nan,0.0,2
NAME_HOUSING_TYPE_Co-op_apartment,0.0,2
NAME_HOUSING_TYPE_House__apartment,4630.866891860962,2
NAME_HOUSING_TYPE_Municipal_apartment,1132.4912910461426,2
NAME_HOUSING_TYPE_Office_apartment,1874.6162023544312,2
NAME_HOUSING_TYPE_Rented_apartment,1473.2275047302246,2
NAME_HOUSING_TYPE_With_parents,713.2522087097168,2
NAME_HOUSING_TYPE_nan,0.0,2
WEEKDAY_APPR_PROCESS_START_FRIDAY,1126.4645080566406,2
WEEKDAY_APPR_PROCESS_START_MONDAY,2024.2624921798706,2
WEEKDAY_APPR_PROCESS_START_SATURDAY,1739.1725978851318,2
WEEKDAY_APPR_PROCESS_START_SUNDAY,1130.168601989746,2
WEEKDAY_APPR_PROCESS_START_THURSDAY,1279.7854080200195,2
WEEKDAY_APPR_PROCESS_START_TUESDAY,1792.3325958251953,2
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1864.4662971496582,2
WEEKDAY_APPR_PROCESS_START_nan,0.0,2
FONDKAPREMONT_MODE_not_specified,982.7175102233887,2
FONDKAPREMONT_MODE_org_spec_account,377.0096015930176,2
FONDKAPREMONT_MODE_reg_oper_account,1044.9258079528809,2
FONDKAPREMONT_MODE_reg_oper_spec_account,688.1157932281494,2
FONDKAPREMONT_MODE_nan,183.13209915161133,2
HOUSETYPE_MODE_block_of_flats,0.0,2
HOUSETYPE_MODE_specific_housing,181.5261001586914,2
HOUSETYPE_MODE_terraced_house,0.0,2
