feature,coef,fold
PREV_AMT_APPLICATION_SUM,-0.02701967352921719,2
PREV_AMT_APPLICATION_MEAN,0.05743228912643053,2
PREV_AMT_APPLICATION_MAX,0.06473230930893527,2
PREV_AMT_APPLICATION_MIN,-0.06286886153777801,2
PREV_AMT_APPLICATION_STD,-0.1583016593191422,2
PREV_AMT_CREDIT_SUM,0.11278449362730378,2
PREV_AMT_CREDIT_MEAN,0.05154794795706356,2
PREV_AMT_CREDIT_MAX,0.14915598045677458,2
PREV_AMT_CREDIT_MIN,-0.00879027524659724,2
PREV_AMT_CREDIT_STD,0.006580207401655486,2
PREV_AMT_DOWN_PAYMENT_SUM,-0.02199469188078746,2
PREV_AMT_DOWN_PAYMENT_MEAN,-0.10701597582469832,2
PREV_AMT_DOWN_PAYMENT_MAX,-0.16639891160395173,2
PREV_AMT_DOWN_PAYMENT_MIN,0.12504648997020948,2
PREV_AMT_DOWN_PAYMENT_STD,0.19664438862251443,2
PREV_NAME_CONTRACT_STATUS_<LAMBDA>,0.1341911364517707,2
PREV_DAYS_DECISION_MIN,0.060813140294242354,2
PREV_DAYS_DECISION_MAX,0.019004960608978765,2
INST_DAYS_LATE_MEAN,0.003771553474763942,2
INST_DAYS_LATE_MAX,-0.015844477460508495,2
INST_DAYS_LATE_SUM,0.005418271014353963,2
INST_DAYS_LATE_STD,0.0184024906253584,2
INST_LATE_FLAG_SUM,0.009714520576143136,2
INST_LATE_FLAG_MEAN,0.18889933365028333,2
INST_AMT_PAYMENT_SUM,-0.014227450181577764,2
INST_AMT_PAYMENT_MEAN,-0.03147250128831204,2
INST_AMT_PAYMENT_MAX,0.13416148903635403,2
CC_CC_UTIL_MEAN,0.0019916606032440495,2
CC_CC_UTIL_MAX,0.009008050611096873,2
CC_CC_UTIL_STD,-0.022175720183450476,2
CC_AMT_BALANCE_MEAN,0.09406942063714333,2
CC_AMT_BALANCE_MAX,0.0442199272661767,2
CC_SK_ID_PREV_NUNIQUE,0.011459437411753181,2
CC_SK_ID_PREV_COUNT,-0.055500316119732426,2
POS_MONTHS_BALANCE_MIN,0.08143742866022656,2
POS_MONTHS_BALANCE_MAX,-0.0987772090526806,2
